text,label
"Hi,Thank you for taking the time to apply for the Co-Op/Intern, Software Development - Fall 2025 position at Hootsuite. There has been a lot of interest in this position, and unfortunately at this time we've decided not to move forward with your application. We greatly appreciate that you included Hootsuite in your job search and understand that it is not always an easy process. With that said, there may be other positions that are a great fit for you, and we encourage you to keep checking our career site as new roles open frequently.  Until next time, Hootsuite Talent Acquisition Team",Rejected
"Subject: Re: Thank you for your Application to Shopify\nSender: Shopify Recruiting <recruiting@shopify.com>\nBody: ​Hi Name,\nThank you for your interest in Shopify. We’ve received your application for\nan Engineering Internship, and we’re delighted that you’re considering\njoining the team.\n\nIt may take some time to hear back from us, but don’t be discouraged, all\napplicants will hear back about the status of their application.\nThanks,\nThe Intern Program Team",Application Received
"Thank you for your application to Moxion Power\nSender: Moxion Power <no-reply@hire.lever.co>\nBody: <div>Hi Name,</div><div><br></div><div>Thank you for your interest in Moxion Power! We wanted to let you know we received your application for Quality Engineer Intern, and we are delighted that you would consider joining our team.</div><div><br></div><div>Our team will review your application and will be in touch if your qualifications match our needs for the role. If you are not selected for this position, keep an eye on our jobs page as were growing and adding openings rapidly.Best,The Moxion Power Team",Application Received
"Thank you for applying to Noah Medical!\nSender: no-reply@us.greenhouse-mail.io\nBody: Hi Name,\nThank you for your interest in Noah Medical! We wanted to confirm that we've received your application for the System Software Engineer Intern position.\nWe will review your application and will be in touch with you directly if your qualifications match our needs for this role. If you are not selected for this position, we encourage you to keep an eye on our careers page as we continue to grow and add new openings in the coming months.\n\nThank you again and have a great day!\n\nBest Regards,\nNoah Medical Talent Acquisition Team<p>Hi Name,thank you for your interest in Noah Medical! We wanted to confirm that we've received your application for the&nbsp;System Software Engineer Intern position.We will review your application and will be in touch with you directly if your qualifications match our needs for this role. If you are not selected for this position, we encourage you to keep an eye on our careers page as we continue to grow and add new openings in the coming months. Thank you again and have a great day! Best Regards,<br>Noah Medical Talent Acquisition Team",Application Received
"Thank you for applying to Dataiku\nSender: no-reply@dataiku.com\nBody: Hi Name,\n\nWe confirm receipt of your application to Software Engineer Intern - Fuzzy Distinct.\n\nOur Talent Acquisition team reviews resumes regularly. One of our recruiters will contact you if your profile looks like it meets the requirements for this or any other role.\n\nRegards,\nDataiku Talent Acquisition Team\n\n** Please note: Do not reply to this email. This email is sent from an unattended mailbox. Replies will not be read",Application Received
"Thank you for your time and interest in Corpay! We have received your application and are reviewing your resume to see if there is a strong fit with the qualifications necessary for the role that you have applied to. We will reach out to you once we are ready to move on to next steps. Please note that regardless of the outcome of your application we will retain your details on file for future reference in accordance with your local privacy laws",Application Received
"Hi Name Thank you for your interest in Clio! We really appreciate the time you took to apply and consider us. Your application will be reviewed by our Talent Acquisition Team. One of our Talent Acquisition Specialists will be in touch if we choose to move forward with next steps. If you have created an account in our recruiting system (Workday) upon applying, you will be able to see the status of your application there as well",Application Received
"We wanted to reach out to say a big thank you for applying to Kabam! We're genuinely excited that you're considering joining us on this adventure, and we appreciate the time and effort you put into your application. Your application has been received and is now on our radar. We'll be carefully evaluating each candidate's skills and experience to ensure we assemble an awesome team and will reach out to those selected to move forward. We can't wait to discover the remarkable adventures and triumphs that have shaped you as a player",Application Received
"Dear Name lastname -\n\nWe want to confirm that your application for the JR1983654 Software Engineering Intern, Generalist Embodied Agents Research - Fall 2024 role has been received.\n\nWe are always looking for amazing people to join us in doing their life’s work at NVIDIA, and we’re grateful that you took the time to apply for this opportunity.\n\nWe will review your application against the open position, and contact you to arrange an interview if the role is a good match for your qualifications.\n\nThanks again for your interest in NVIDIA.\n\nBest Regards,\n\nThe NVIDIA Recruiting Team",Application Received
"Dear Name Chamseddin ,\n\nThank you for your application to the post of Web UI Developer at Deutsche Bank.\n\nYou may wish to sign into the Candidate Home to view the application status.\n\nIf you do not have a Candidate Home account, please follow this link to create it.\n\nYours Sincerely,\n\nDeutsche Bank Talent Sourcing",Application Received
"Subject: Thank the TDSB for Adopting an Anti-Palestinian Racism strategy\nSender: Canadians for Justice and Peace in the Middle East <info@cjpme.org>\nBody: <https://www.cjpmecontent.org/tdsb_apr_policy>\n\nDear Nora,\n\nGreat news! Yesterday evening, the Toronto District School Board (TDSB) voted to include anti-Palestinian racism <https://www.cjpme.org/pr_2024_06_20_tdsb> (APR) as part of its Combating Hate and Racism strategy! This means that the TDSB has committed to developing resources to inform students about APR, alongside other forms of discrimination including Islamophobia and antisemitism.\n\nThis is a major victory and is a result of important advocacy work by Toronto Palestinian families <https://torontopalestinianfamilies.ca/>, Toronto Jewish families <https://torontojewishfamilies.wordpress.com/>, and others. Acknowledging APR is critically important amid the skyrocketing incidents of violence and hate against Palestinians and their supporters. Unfortunately, pro-Israel organizations continue to oppose any mention of APR and are actively campaigning to have this decision reversed.\n\nDon't allow political pressure from pro-Israel groups erase Palestinian voices! Please click here to send a message to TDSB Trustees, the Ontario Education Minister, and other public officials. <https://www.cjpme.org/tdsb_apr_policy> Please join us in thanking the TDSB for their principled decision to address APR as part of its broader fight against all forms of racism\n\n<https://www.cjpmecontent.org/tdsb_apr_policy>\n\nPlease share this campaign:\n\n- Click here <https://nmshr.io/s/twitter/ZBE8BTXEHQ==/b> to Tweet, or retweet <https://x.com/CJPME/status/1803871768836260032> our campaign tweet\n- Click here <https://www.facebook.com/photo/?fbid=870748418430704&set=a.482363290602554> like and share our Facebook campaign post\n- Click here <https://www.instagram.com/p/C8cvLJ5Te2b/> to like our main Instagram post\n- Forward <https://nmshr.io/s/email/ZBE8BTXEHQ==/b> this email to your friends\n\nMore Info\n\nA report <https://pub-tdsb.escribemeetings.com/filestream.ashx?DocumentId=17569> adopted yesterday by the TDSB in a 15-7 vote <https://www.youtube.com/live/SVb3KShPlaM?feature=shared&t=21207> includes anti-Palestinian racism (APR) as an area of focus “in response to student and community voices,” and follows advocacy from Toronto Palestinian and Jewish families. This means that a working group will be formed to educate students on APR, alongside other forms of discrimination including Islamophobia and antisemitism.\n\nA working description of anti-Palestinian racism was first developed by the Arab-Canadian Lawyers Association (ACLA) in its 2022 report titled “Anti-Palestinian Racism: Naming, Framing and Manifestations <https://static1.squarespace.com/static/61db30d12e169a5c45950345/t/627dcf83fa17ad41ff217964/1652412292220/Anti-Palestinian+Racism-+Naming%2C+Framing+and+Manifestations.pdf>.” The ACLA describes APR as “a form of anti-Arab racism that silences, excludes, erases, stereotypes, defames or dehumanizes Palestinians or their narratives,” and identifies various forms of APR, including “denying the Nakba and justifying violence against Palestinians,” “failing to acknowledge Palestinians as an Indigenous people with a collective identity,” and “defaming Palestinians and their allies with slander such as being inherently antisemitic, a terrorist threat/sympathizer or opposed to democratic values.\n\nThe need to adopt APR as part of anti-racism strategies around Canada is corroborated by the rise of violence and discrimination against Canadian Palestinians and their allies. Some recent examples of hateful acts include",Not applicable
"YesStyle.com - Thank you! Your Order (23910645) Has Been Placed\nSender: \autoreply@yesstyle.com\ <autoreply@yesstyle.com>\nBody:\n<HTML>\n<head>\n<TITLE>Order Confirmation</TITLE>\n<META HTTP-EQUIV=\Content - Thank you! Your Order (23910645) Has Beenplaced",Not applicable
"Name,\n\nMy Squad brother Jamaal Bowman lost his Congressional primary yesterday after being outspent 7 to 1.\n\nJamaal visited my Palestinian sity in Palestine’s West Bank when I couldn’t, and he recognized her humanity without hesitation. Unlike many of our colleagues in Congress, Jamaal hasn’t bowed down to those who believe killing thousands of Palestinian children is acceptable.\n\nBecause Jamaal believed that Palestinians deserve to live, the American Israel Public Affairs Committee (AIPAC) spent nearly $20 million to unseat him.\n\nThis is the most expensive U.S. House of Representatives primary ever. Funded mainly by far-right billionaires, AIPAC saturated the airwaves with racist attack ads and encouraged Republicans to register as Democrats to vote against Jamaal.\n\nWe can’t let AIPAC undermine our democracy or scare lawmakers into continued unconditional support for Israel’s military. So we’ve got to defend AIPAC’s next target: Rep. Cori Bush.\n\nLike Jamaal Bowman, Cori Bush is a courageous leader for Palestinians’ human rights. AIPAC has already spent $2 million supporting Cori’s anti-ceasefire opponent, and the group will spend many millions more over the next month before Cori’s August 6th primary election in Missouri.\n\nCan you help Cori Bush overcome millions of dollars in attacks from pro-genocide billionaires? Please rush an urgent donation to our re-election campaigns today.\n\nRUSH A DONATION\n\nBack in October of last year, Cori heeded the call from the grassroots to introduce a Congressional resolution demanding a ceasefire and humanitarian aid to Gaza. Like Jamaal, Cori was one of the first members of Congress to correctly refer to these attacks on Palestinians as ethnic cleansing and genocide.\n\nIn 2014 Cori met Palestinian activists on the streets of Ferguson, Missouri while protesting for Black lives, and she saw the connections between Black and Palestinian struggles against state violence. Since then, she’s criticized the U.S. government’s complicity in Israel’s human rights abuses",Not applicable
"Dear NORA,\nYour online bill is now available. Thank you for pre-authorizing your payment. We'll withdraw the amount from your account on or after Jul 07, 2024.\n\n\nAccount number: 9-****-8412",Not applicable
"Hi Nora,\n\nBased on your recent activity, we'd like to give you a special offer - a 1-month free upgrade to LinkedIn Premium.\n\nLinkedIn Premium gives you the following additional features:\n\nCustom Button, guide your profile viewers to take a desired action like visit your website, sign up for a demo and more*.\nInMail Messaging so you can reach out to anyone, including peers, industry leaders, potential partners, even if you're not connected.\nExclusive Insights on Company Pages, to help you make data-driven decisions.\nWho's Viewed Your Profile to see everyone who viewed your profile over the last 365 days.\nLinkedIn Learning's 21,000+ expert-led courses to hone your skills.\nStart your 1-month free trial today",Not applicable
"Hi Nora,\n\nDoes it feel like, no matter how many job applications you send, you’re not getting callbacks?\n\n \n\nJoin us and career coach, David Alto, in our upcoming webinar to get specific advice on what your resume needs to start getting more interviews, and how you can use LinkedIn to help land your next role.\n\n \n\nIn this webinar, we will discuss:\n\nResume formatting tips\nHow to write the most effective resume sections - what to include, how to say it, and best present your information\nAdvice for reviewing and editing your resume\nUsing LinkedIn for networking to help land your next role\nAn open Q&A on resume writing (ask any questions you have about your resume)\n\nAnd don’t miss our giveaway:\n\n \n\nJobscan is 10 years old this year!\n\n \n\nTo celebrate 10 years of Jobscan, we are giving away one month of Jobscan Premium for ten winners. \n\n \n\nJust grab your seat, and you'll be entered to win one of 10 Jobscan Premium accounts. The winners will be announced live on the webinar.\n\n \n\nAll webinar registrants are eligible, except where prohibited. So grab your seat today!\n\n \n\nHere are the webinar details",Not applicable
"We at Human Concern International extend our warmest wishes for a joyous and blessed Eid al-Adha filled with peace, happiness, and togetherness.\n\nAs we celebrate Eid this year, we think about the difficulties faced by many people worldwide. Thanks to your support, HCI has helped countless individuals and families in need despite these challenges.\n\nWe worked together to provide food aid, clean water, medical help, and educational opportunities to those who needed it most.\n\nYour kindness and dedication drive our mission and enable us to keep making a positive impact. We pray for a peaceful and prosperous Eid for you and your loved ones.\n\nBest Regards,\nTeam Human Concern International",Not applicable
"Hi Nora, Last call to join our webinar this Wednesday: Resume Writing Strategies - Crafting a Standout Resume. Career coach, David Alto, will be joining us to answer all of your resume-related questions and help you craft a resume that lands you more interviews. It’s going to be a great session! In this webinar, we will discuss: How to write the most effective resume sections - what to include, how to say it, and best present your information Advice for reviewing, editing, and formatting your resume Using LinkedIn for networking to help land your next role An open Q&A on resume writing (ask any questions you have about your resume) And don’t miss our giveaway: Jobscan is 10 years old this year! To celebrate 10 years of Jobscan, we are giving away one month of Jobscan Premium for ten winners. Just grab your seat, and you'll be entered to win one of 10 Jobscan Premium accounts. The winners will be announced live on the webinar. All webinar registrants are eligible, except where prohibited. So grab your seat",Not applicable
"Hello Nora,\n\nWe hope you're having a good day!\n\nGiven your interest in AI Development & Machine learning, we would like to show you a new job listing for a Research Intern - AI-driven System and Database Design at Microsoft.\n\nBelow, we have summarized the main reasons why we recommend you to submit your application as soon as possible:\n\n- Opportunity to work on cutting-edge AI-driven system and database design\n- Chance to collaborate with world-class researchers in AI infrastructure\n- Hands-on experience with machine learning frameworks like PyTorch\n\nThis role requires candidates currently enrolled in a program related to Computer Science, Electrical Engineering, or Machine learning. Proficiency in machine learning concepts and models, analytical skills, and the ability to work independently are essential.\n\nIf you're interested, we encourage you to take the next step and apply for this position!\n\nThank you and good luck with your search!\n\nThe Joinrs Team",Not applicable
"Hey hackers! July is almost over, and we have some exciting updates to share! Hacker Applications and the Capture the Flag Challenge are closing soon, and there’s lots to look forward to in September. Read below to stay in the loop  Hacker Applications Close Soon!  Hack the North will take place from September 12-14, 2025. It will be a weekend full of building, learning, and meeting new people. You’ll find workshops, mentors, fun events, and chances to bring your ideas to life",Not applicable
"Hi N ch, Thanks for using EasyRetro. We really appreciate you choosing our tool to collaborate with your team. To help us improve, we’d like to ask you for feedback about your experience so far. It’ll only take a minute, and your answer will help us make EasyRetro even better",Not applicable
"Thank you for continuing to demand Palestinian liberation. People enduring this genocide on the ground in Gaza are asking us to continue speaking up and making noise, so let’s keep doing all we can. With you in the fight for human rights for all people, Rashida",Not applicable
"Thank you, interview with Interac Sender: Nora Chamseddin <nchamseddin@gmail.com> Body: Hello Nora,\r\n\r\nWe appreciate your interest in the Software Development Intern position at\r\nInterac. We would like to schedule a technical interview with you to\r\nfurther assess your skills.\r\n\r\nPlease let us know your availability for a technical interview next week.\r\nThe interview will include coding challenges and problem-solving questions.\r\n\r\nThank you for your time, and we look forward to hearing from you.\r\n\r\nRegards,\r\nInterac Recruitment",Interview
"Thank you, interview invitation with Walton Systems Sender: Nora Chamseddin <nchamseddin@gmail.com> Body: Dear Nora,\r\n\r\nThank you for applying to Walton Systems! We have reviewed your application\r\nand would like to invite you for an interview.\r\n\r\nPlease select a time slot that works for you using the link below:\r\n[Interview Scheduling Link]\r\n\r\nWe look forward to speaking with you soon.\r\n\r\nBest regards,\r\nWalton Systems Recruiting Team\r\n<div>Dear Nora,<br><br>Thank you for applying to Walton Systems! We have reviewed your application and would like to invite you for an interview.<br><br>Please select a time slot that works for you using the link below:<br>[Interview Scheduling Link]<br><br>We look forward to speaking with you soon.<br><br>Best regards,<br>Walton Systems Recruiting Team",Interview
"Thank you for applying, Interview with InnovateX Sender: Nora Chamseddin <nchamseddin@gmail.com> Body: Hi Nora, Thank you for completing your initial interview with InnovateX. We\r\nwere impressed with your performance and would like to move forward with a\r\nfollow-up interview. Please find the details for the next round below:\r\n- Date: August 25, 2024 - Time: 10:00 AM EST - Format: Virtual (Zoom link\r\nwill be provided) Looking forward to our conversation. Best, InnovateX HR Hi Nora, Thank you\u00a0for\u00a0completing your initial interview\u00a0with\u00a0InnovateX. We were impressed\u00a0with\u00a0your performance\u00a0and\u00a0would\u00a0like\u00a0to\u00a0move forward\u00a0with\u00a0a follow-up interview. Please find the details\u00a0for\u00a0the\u00a0next\u00a0round below: -\u00a0Date: August\u00a025,\u00a02024\u00a0- Time:\u00a010:00\u00a0AM EST - Format: Virtual (Zoom link will be provided) Looking forward\u00a0to\u00a0our conversation. Best, InnovateX HR Team",Interview
"Hi Nora, We are pleased you are choosing to interview with Intuit for a Software Developer Co-op. You will have a 1-hour interview. Just as a reminder, this opportunity is hybrid based out of our Downtown Toronto office with 3 days a week in office 🏙️. Here are some fun perks you get as a co-op at Intuit 💙. Please reply to this email to confirm receipt.mThis email is serving as confirmation of your interview with Intuit on Wednesday July 30, 2025 2pm-3pm ET (Eastern Time Zone). What to expect",Interview
"Dear Nora Chamseddin, I hope this message finds you well. Thank you for your interest in the QA Automation Co-op position at Ingenico. After reviewing your application, we are pleased to inform you that you have been shortlisted for the next stage of our selection process. We would like to schedule a short interview with you to further discuss your qualifications and interest in the position. Please provide your availability over the next few days so we can arrange a convenient time. The interview will focus on your experience, skills, and potential fit with our team and ongoing projects. Looking forward to hearing from you",Interview
"Hi Nora, I hope you’re well! I’m Krizia, and I’m a recruiter at Meta for our Production Engineering team. I came across your profile and thought you could be a good match for our 2025 Production Engineer Intern position. Production Engineers (PEs) at Meta are a hybrid between software and systems engineers and are core to every significant engineering effort that keeps Meta running smoothly and scaling efficiently. PEs work within Meta's product and infrastructure teams to make sure our products and services are reliable and scalable. Our Production Engineering (PE) team is looking for someone who is knowledgeable about Linux/Unix operating systems, enjoys debugging, problem solving and is also a solid coder. Does this opportunity interest you? If so, can you please complete the next steps and answer the following questions please reply in-line via this email",Interview
"Hey Nora! Thanks so much for applying to join the Whatnot team!  After reviewing your application, Id like to invite you to complete a brief one-way video interview for the 2026 Software Engineer Intern position.  The interview has 6 questions and should take you around 15 minutes to complete. We request you please submit it within 3 days. You'll want to be in a quiet setting with a strong internet connection. Follow this link to start the interview:  https://app.hireflix.com/2m7TIlbP Note: You can complete the interview using the link above on the Chrome browser, on any laptop, or smartphone. If you are using an iPhone, please use Safari. We look forward to reviewing your submission! Please do not reply to this email. Responses will be sent to an unmonitored inbox. Whatnot Recruiting Team",Online Assessment
"Hello! Thank you for submitting your application to join the Rippling Team! After reviewing your application, we believe that you might be a great fit here at Rippling! As your next step in the interview process, you will have the opportunity to demonstrate your technical abilities and perspective through our assessment. In the link below, you will find additional instructions and guidance. We recommend completing this task within 5 days of receiving it. Feel free to use the HackerRank practice tool to get used to the platform prior to starting your assessment. Once you submit your answers, our recruiting team will reach out within a week regarding your next steps. We wish you the best of luck",Online Assessment
"Hi Nora, We have reviewed you application and think that you could be a great fit for Rippling as a Full Stack Software Engineer Intern - Summer 2026.  As a next step, you should see an email in your inbox from HackerRank with our coding assessment. This is your chance to showcase your skills and potential. If you have any questions, feel free to reach out. Best of luck",Online Assessment
"Hey Nora, It was great to meet you! Here is the info for the take-home assignment options. Feel free to email me with questions as they come up. https://docs.google.com/document/d/16x1msa05wbpwe-j1N02aAtHDDozVMcVupNgnNO_SnkI/edit?usp=sharing Best, Zac Baker, Terac Co-Founder",Online Assessment
"Hello Nora, I am very pleased to present you with the attached offer to join Ingenico Canada Ltd., as a Co-Op Student. We are excited for you to join the team and we look forward to working with you to drive the success of our business. You will find attached to this email documents you should read, sign, initial each page and return: 1. Offer Letter & Job Description 2. Code of Ethics 3. Employee Handbook 4. Confidentiality Employee Agreement 5. Business Code of Conduct 6. Personal Information to setup your payroll account (you will enter your SIN, Banking information and other personal details into ADP – DO NOT FILL THAT INFORMATION ON THIS PAGE, WE ONLY NEED YOUR DOB AND CONTACT INFORMATION)",Offer
"Hi Nora. Hope you are well and thank you for your time today.  Following your interview, we are delighted to offer you a co-op positions in the Emerging Technologies team for our Winter 2024 term. Please see your offer details below",Offer











